"","Time","P","I"
"1",0,80,200
"2",1.01690925145943,65,231
"3",2.05179651669376,46,217
"4",3.08285212724693,26,179
"5",4.09981938887946,24,160
"6",5.10482439624054,13,155
"7",6.10720857854843,12,132
"8",7.10728232938122,26,111
"9",8.10980160411261,63,116
"10",9.10987879827221,131,161
"11",10.1163631917709,143,213
"12",11.1207958363556,83,245
"13",12.1638629941598,24,243
"14",13.2395904785421,17,222
"15",14.2404136504746,5,182
"16",15.249866847591,4,149
"17",16.2605608377478,18,139
"18",17.2614738984567,50,132
"19",18.2628028046318,100,155
"20",19.2649158810007,143,183
"21",20.2804351519673,90,290
"22",21.357628482396,17,266
"23",22.3864828171838,16,204
"24",23.4170608622656,21,190
"25",24.4198845048843,40,157
"26",25.0337102978293,45,171
